filename,app_result_type,app_raw_score,threshold,image_path,image_ext,width,height,aspect_ratio,long_edge,file_size_kb,python_stage3_score,abs_delta,expected_file_sha256,matched_file_sha256,hash_match,app_label_from_score,python_label_from_score,verdict
gA_285.jpg,fraudulent,0.625849,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_285.jpg,.jpg,720,1600,0.45,1600,72.7578125,0.017043279483914375,0.6088057205160856,467712d251d54a51128f3c2fa35147786376dfd0af4454e1cd256d42a6b97ac6,467712d251d54a51128f3c2fa35147786376dfd0af4454e1cd256d42a6b97ac6,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_287.jfif,fraudulent,0.759825,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_287.jfif,.jfif,720,1600,0.45,1600,43.42578125,0.1879005879163742,0.5719244120836258,8dfdc574863619cb4e7a2722704ee0bb63f136a98bd1ff39e2d3284b67610e24,8dfdc574863619cb4e7a2722704ee0bb63f136a98bd1ff39e2d3284b67610e24,True,fraudulent,fraudulent,possible_app_preprocess_mismatch
gA_288.jfif,fraudulent,0.358113,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_288.jfif,.jfif,720,1675,0.4298507462686567,1675,36.8056640625,0.011699189431965351,0.34641381056803466,1535868cf34b353d19b1ff36e10b7b9d3481e7dd27a19d078d765932109c159d,1535868cf34b353d19b1ff36e10b7b9d3481e7dd27a19d078d765932109c159d,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_289.jfif,fraudulent,0.968592,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_289.jfif,.jfif,720,1502,0.4793608521970706,1502,32.482421875,0.0896957740187645,0.8788962259812355,55483c9787bcf95e7853092a43ffcc4ed79ea36fa35e360f37c4deaa309d7ff7,55483c9787bcf95e7853092a43ffcc4ed79ea36fa35e360f37c4deaa309d7ff7,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_291.jfif,fraudulent,0.825774,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_291.jfif,.jfif,720,1600,0.45,1600,45.2197265625,0.12383969128131866,0.7019343087186813,a4859ac04bcd05b9258735eca67ff5fbde2e07ae1c3f77740618a8e027e30ea4,a4859ac04bcd05b9258735eca67ff5fbde2e07ae1c3f77740618a8e027e30ea4,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_292.jfif,fraudulent,0.880013,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_292.jfif,.jfif,720,1600,0.45,1600,45.09765625,0.17479971051216125,0.7052132894878388,74c93783dbc3c59b159b0ad7654ab1738fe61ff9e82c2c3c0dee25056a5d8cb3,74c93783dbc3c59b159b0ad7654ab1738fe61ff9e82c2c3c0dee25056a5d8cb3,True,fraudulent,fraudulent,possible_app_preprocess_mismatch
gA_303.jfif,fraudulent,0.862783,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_303.jfif,.jfif,720,1600,0.45,1600,43.6826171875,0.13081391155719757,0.7319690884428024,01de328f113ea5f44850afcef9272a11f444e91ed2414ebe952ad7cdd4654c2c,01de328f113ea5f44850afcef9272a11f444e91ed2414ebe952ad7cdd4654c2c,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_304.jfif,fraudulent,0.834348,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_304.jfif,.jfif,720,1600,0.45,1600,41.4560546875,0.018244672566652298,0.8161033274333477,769538dcb857495fd0c594120bb60471132c2d0946b5e2b3ce74431537240fcd,769538dcb857495fd0c594120bb60471132c2d0946b5e2b3ce74431537240fcd,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_305.jfif,fraudulent,0.813714,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_305.jfif,.jfif,720,1530,0.47058823529411764,1530,35.45703125,0.037609025835990906,0.7761049741640091,944013b70845623dbc51fde9a6b8e8d5334bd17ecaef2b110242e9ef7eb4e720,944013b70845623dbc51fde9a6b8e8d5334bd17ecaef2b110242e9ef7eb4e720,True,fraudulent,genuine,possible_app_preprocess_mismatch
gA_306.jfif,fraudulent,0.799515,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_306.jfif,.jfif,720,1600,0.45,1600,42.84375,0.1866893172264099,0.6128256827735901,e37c8f1bca845c19740c329c06f7e4ee902860825cd11d20084352e8509772f9,e37c8f1bca845c19740c329c06f7e4ee902860825cd11d20084352e8509772f9,True,fraudulent,fraudulent,possible_app_preprocess_mismatch
