val_binary_accuracy,loss,binary_accuracy,val_loss
0.9375,0.29423996806144714,0.878125011920929,0.14475524425506592
0.9750000238418579,0.17907151579856873,0.9375,0.08424297720193863
0.9750000238418579,0.1415170133113861,0.9449218511581421,0.08277909457683563
0.987500011920929,0.11549675464630127,0.960156261920929,0.054187558591365814
0.9937499761581421,0.10011075437068939,0.9664062261581421,0.05603547766804695
0.981249988079071,0.11065443605184555,0.9624999761581421,0.05976908281445503
0.9937499761581421,0.08787111937999725,0.9710937738418579,0.04617694392800331
0.9937499761581421,0.07642282545566559,0.9742187261581421,0.03953493759036064
0.9937499761581421,0.06765919923782349,0.9769531488418579,0.0374724343419075
0.9937499761581421,0.09197172522544861,0.971484363079071,0.05617804080247879
0.9937499761581421,0.06234481930732727,0.98046875,0.0370078943669796
0.9937499761581421,0.04905381798744202,0.987500011920929,0.02700827084481716
0.9937499761581421,0.04273614287376404,0.9878906011581421,0.031892698258161545
0.9937499761581421,0.03517615422606468,0.989062488079071,0.03377803787589073
