timestamp_iso,filename,result_type,raw_score,threshold,file_path,file_sha256,file_size_bytes,decoded_width,decoded_height
2026-07-12T11:19:55.029547Z,gA_223.jpg,fraudulent,0.223858,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_223.jpg,5ff244a772dacb5dcc55efbc8a2247513daa7f7670ce3f264abb6ba90f6ce5e2,99790,945,2048
2026-07-12T11:19:59.002946Z,gA_249.jpg,fraudulent,0.965773,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_249.jpg,a8fd225348148ab9dea9c2a5f44ca87ec71d690fe3cf07b9e2e5abf517cd6ebc,87656,1046,2048
2026-07-12T11:20:02.828269Z,gA_250.jpg,fraudulent,0.953946,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_250.jpg,f16f3557f31d95d73dd0ac6f0db3b181a169eada1741a050ac5e97c306b3f564,84436,1046,2048
2026-07-12T11:20:06.100181Z,gA_275.jpg,fraudulent,0.962457,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_275.jpg,7fe107fa6e1a00de3ef67dec58c6a62a86ed1179548936acb816e0ad99129719,70062,1046,2048
2026-07-12T11:20:08.980894Z,gA_276.jfif,fraudulent,0.421063,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_276.jfif,feca4256a2135318261d0e32f1cf72ce1855b6427ad56540ab32ba5d1db3637c,75852,980,2047
2026-07-12T11:20:11.891399Z,gA_277.jfif,fraudulent,0.421063,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_277.jfif,feca4256a2135318261d0e32f1cf72ce1855b6427ad56540ab32ba5d1db3637c,75852,980,2047
2026-07-12T11:20:15.294684Z,gA_278.jpg,fraudulent,0.922855,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_278.jpg,0333c256e8c1bf2164bf2d83775d9b08777c974dd5abc39a846bf5c04233e5f8,85119,1046,2048
2026-07-12T11:20:17.737304Z,gA_279.jfif,unclear,0.161283,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_279.jfif,ea8a1cd6f02a9d5cd2aa8170d15df83869459a8c7ea61995225c90fe6932e466,60389,784,2045
2026-07-12T11:20:20.803425Z,gA_280.jpg,fraudulent,0.954482,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_280.jpg,5df33be24f57aac9d7b17ec65fca539ccde1b8768522b2a86daaa7704742c4ec,69923,1046,2048
2026-07-12T11:20:23.745794Z,gA_281.jfif,fraudulent,0.520904,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_281.jfif,43e184271ffc80d6d066d017ed1b87742882cf9b62308762fd1dd0facdea8115,66569,980,2046
