filename,app_result_type,app_raw_score,threshold,image_path,image_ext,width,height,aspect_ratio,long_edge,file_size_kb,python_stage3_score,abs_delta,expected_file_sha256,matched_file_sha256,hash_match,app_label_from_score,python_label_from_score,verdict
gA_287.jfif,unclear,0.187904,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_287.jfif,.jfif,720,1600,0.45,1600,43.42578125,0.1879005879163742,3.4120836257811593e-06,8dfdc574863619cb4e7a2722704ee0bb63f136a98bd1ff39e2d3284b67610e24,8dfdc574863619cb4e7a2722704ee0bb63f136a98bd1ff39e2d3284b67610e24,True,fraudulent,fraudulent,model_gap_or_data_shift
gA_288.jfif,genuine,0.0117,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_288.jfif,.jfif,720,1675,0.4298507462686567,1675,36.8056640625,0.011699189431965351,8.105680346492256e-07,1535868cf34b353d19b1ff36e10b7b9d3481e7dd27a19d078d765932109c159d,1535868cf34b353d19b1ff36e10b7b9d3481e7dd27a19d078d765932109c159d,True,genuine,genuine,model_gap_or_data_shift
gA_289.jfif,genuine,0.089695,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_289.jfif,.jfif,720,1502,0.4793608521970706,1502,32.482421875,0.0896957740187645,7.740187644988961e-07,55483c9787bcf95e7853092a43ffcc4ed79ea36fa35e360f37c4deaa309d7ff7,55483c9787bcf95e7853092a43ffcc4ed79ea36fa35e360f37c4deaa309d7ff7,True,genuine,genuine,model_gap_or_data_shift
gA_291.jfif,unclear,0.123841,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_291.jfif,.jfif,720,1600,0.45,1600,45.2197265625,0.12383969128131866,1.3087186813420804e-06,a4859ac04bcd05b9258735eca67ff5fbde2e07ae1c3f77740618a8e027e30ea4,a4859ac04bcd05b9258735eca67ff5fbde2e07ae1c3f77740618a8e027e30ea4,True,genuine,genuine,model_gap_or_data_shift
gA_292.jfif,unclear,0.174802,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_292.jfif,.jfif,720,1600,0.45,1600,45.09765625,0.17479971051216125,2.289487838758042e-06,74c93783dbc3c59b159b0ad7654ab1738fe61ff9e82c2c3c0dee25056a5d8cb3,74c93783dbc3c59b159b0ad7654ab1738fe61ff9e82c2c3c0dee25056a5d8cb3,True,fraudulent,fraudulent,model_gap_or_data_shift
gA_303.jfif,unclear,0.130816,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_303.jfif,.jfif,720,1600,0.45,1600,43.6826171875,0.13081391155719757,2.0884428024170454e-06,01de328f113ea5f44850afcef9272a11f444e91ed2414ebe952ad7cdd4654c2c,01de328f113ea5f44850afcef9272a11f444e91ed2414ebe952ad7cdd4654c2c,True,genuine,genuine,model_gap_or_data_shift
gA_304.jfif,genuine,0.018245,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_304.jfif,.jfif,720,1600,0.45,1600,41.4560546875,0.018244672566652298,3.2743334770282684e-07,769538dcb857495fd0c594120bb60471132c2d0946b5e2b3ce74431537240fcd,769538dcb857495fd0c594120bb60471132c2d0946b5e2b3ce74431537240fcd,True,genuine,genuine,model_gap_or_data_shift
gA_305.jfif,genuine,0.037608,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_305.jfif,.jfif,720,1530,0.47058823529411764,1530,35.45703125,0.037609025835990906,1.0258359909032233e-06,944013b70845623dbc51fde9a6b8e8d5334bd17ecaef2b110242e9ef7eb4e720,944013b70845623dbc51fde9a6b8e8d5334bd17ecaef2b110242e9ef7eb4e720,True,genuine,genuine,model_gap_or_data_shift
gA_306.jfif,unclear,0.186692,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_306.jfif,.jfif,720,1600,0.45,1600,42.84375,0.1866893172264099,2.6827735900847305e-06,e37c8f1bca845c19740c329c06f7e4ee902860825cd11d20084352e8509772f9,e37c8f1bca845c19740c329c06f7e4ee902860825cd11d20084352e8509772f9,True,fraudulent,fraudulent,model_gap_or_data_shift
gA_307.jfif,genuine,0.000228,0.16,C:\Users\YUKI\Documents\Vivy\real_world_samples\Android\gA_307.jfif,.jfif,720,1649,0.4366282595512432,1649,59.37890625,0.00022810287191532552,1.0287191532550987e-07,fd724113e4d0e733254a16f26d54e5bc1429da015ef94cbde6b12c9cdd8329bb,fd724113e4d0e733254a16f26d54e5bc1429da015ef94cbde6b12c9cdd8329bb,True,genuine,genuine,model_gap_or_data_shift
